window_start,position_mb,DNA_fraction,LTR_fraction,Unknown_fraction,LINE_fraction,SINE_fraction
1,0,0.490688,0.054175,0.008884,0.035899,0.009197
1000001,1,0.465542,0.038448,0.008002,0.032005,0.007279
2000001,2,0.451088,0.026839,0.010865,0.031867,0.005619
3000001,3,0.381242,0.027136,0.01264,0.029161,0.006612
4000001,4,0.455565,0.031435,0.005392,0.027074,0.011014
5000001,5,0.414372,0.028333,0.006867,0.033382,0.009666
6000001,6,0.399644,0.022142,0.007668,0.025527,0.006812
7000001,7,0.453458,0.024211,0.012653,0.032677,0.012626
8000001,8,0.387584,0.024444,0.00536,0.0244,0.006629
9000001,9,0.36629,0.017769,0.006114,0.034728,0.005397
10000001,10,0.316462,0.035176,0.005819,0.026682,0.00559
11000001,11,0.342488,0.020782,0.006821,0.022903,0.003821
12000001,12,0.345236,0.019186,0.007186,0.022228,0.005473
13000001,13,0.319249,0.03214,0.00513,0.022914,0.002575
14000001,14,0.342398,0.02179,0.005075,0.029397,0.004936
15000001,15,0.338721,0.016363,0.00501,0.029497,0.002212
16000001,16,0.372738,0.020868,0.006574,0.017944,0.003436
17000001,17,0.343729,0.014767,0.007642,0.017473,0.004608
18000001,18,0.369059,0.021808,0.005827,0.028231,0.006991
19000001,19,0.36921,0.022933,0.009345,0.020634,0.00296
20000001,20,0.287779,0.019765,0.004931,0.011546,0.004542
21000001,21,0.441533,0.036996,0.004803,0.029403,0.006179
22000001,22,0.394762,0.0296,0.007819,0.017574,0.003436
23000001,23,0.427526,0.028531,0.004739,0.022417,0.004876
24000001,24,0.486827,0.025165,0.004925,0.028928,0.005806
25000001,25,0.484002,0.030671,0.006435,0.030296,0.006544
26000001,26,0.43006,0.285123,0.01253,0.053979,0.003143
27000001,27,0.489771,0.090703,0.008292,0.032521,0.009836
28000001,28,0.410957,0.168852,0.021352,0.055458,0.006405
29000001,29,0.515113,0.156476,0.051924,0.080295,0.006137
30000001,30,0.475272,0.161222,0.036717,0.099418,0.005278
31000001,31,0.526473,0.171487,0.029467,0.069604,0.005356
32000001,32,0.450783,0.199046,0.043096,0.05421,0.006579
33000001,33,0.502951,0.147254,0.043848,0.074481,0.003993
34000001,34,0.437005,0.141557,0.043598,0.072858,0.021234
35000001,35,0.423388,0.151396,0.022726,0.074869,0.013947
36000001,36,0.36241,0.1475,0.042308,0.061295,0.003063
37000001,37,0.434971,0.163544,0.050943,0.056067,0.003045
38000001,38,0.386766,0.196095,0.039167,0.071323,0.002976
39000001,39,0.479912,0.173349,0.043276,0.065468,0.020528
40000001,40,0.430285,0.153026,0.045129,0.068451,0.009744
41000001,41,0.476728,0.146777,0.059312,0.092732,0.007198
42000001,42,0.498926,0.143778,0.042384,0.06137,0.009627
43000001,43,0.514661,0.126414,0.023271,0.076242,0.007891
44000001,44,0.355461,0.179697,0.023791,0.063924,0.010504
45000001,45,0.290899,0.110802,0.030179,0.052977,0.000976
46000001,46,0.268209,0.07615,0.017892,0.036559,0.009406
47000001,47,0.482098,0.169073,0.060917,0.066299,0.005211
48000001,48,0.345319,0.13225,0.037557,0.05393,0.001857
49000001,49,0.434654,0.217566,0.039017,0.068167,0.0262
50000001,50,0.445435,0.184762,0.047719,0.091254,0.00313
51000001,51,0.374124,0.18925,0.040997,0.080248,0.003667
52000001,52,0.474705,0.193808,0.033621,0.06858,0.002776
53000001,53,0.407371,0.240147,0.023877,0.066549,0.058839
54000001,54,0.474471,0.181549,0.056981,0.090973,0.023021
55000001,55,0.445275,0.175848,0.032796,0.049532,0.029136
56000001,56,0.460328,0.204587,0.029723,0.075249,0.001326
57000001,57,0.557936,0.10897,0.038844,0.066931,0.006385
58000001,58,0.431167,0.156946,0.061144,0.060582,0.004929
59000001,59,0.402191,0.193438,0.050151,0.079012,0.003927
60000001,60,0.462166,0.20369,0.022042,0.072492,0.005006
61000001,61,0.409551,0.189647,0.055493,0.071463,0.005288
62000001,62,0.473389,0.240877,0.049539,0.052329,0.015567
63000001,63,0.432728,0.112916,0.021323,0.053673,0.072242
64000001,64,0.446594,0.152951,0.038541,0.108057,0.000859
65000001,65,0.380102,0.177199,0.029688,0.075792,0.004469
66000001,66,0.280106,0.123438,0.020117,0.052305,0.0
67000001,67,0.463587,0.142065,0.070056,0.068053,0.007834
68000001,68,0.455946,0.186811,0.03031,0.079956,0.010097
69000001,69,0.466749,0.134252,0.053721,0.08128,0.008273
70000001,70,0.485399,0.256591,0.017542,0.053311,0.008436
71000001,71,0.486707,0.213865,0.032901,0.053706,0.008929
72000001,72,0.639929,0.088813,0.027883,0.044864,0.013776
73000001,73,0.636746,0.081102,0.053444,0.050003,0.006733
74000001,74,0.678836,0.075299,0.013862,0.036481,0.004053
75000001,75,0.517718,0.192494,0.007401,0.053399,0.009287
76000001,76,0.474379,0.180793,0.02353,0.049893,0.005927
77000001,77,0.426538,0.109756,0.017774,0.06897,0.005513
78000001,78,0.44833804620391615,0.09363495705063224,0.010339860214480072,0.05331056927919757,0.0
