Label,DNA,LINE,LTR,SINE
0.5,14887,2023,4186,115
1.5,7368,1762,3054,59
2.5,13614,2539,2630,164
3.5,21662,3170,3257,454
4.5,23753,2479,3129,466
5.5,28057,2998,2911,605
6.5,31508,2179,3043,639
7.5,32986,2190,3060,661
8.5,49430,3079,4258,906
9.5,46532,2967,3794,803
10.5,55800,3417,3999,776
11.5,65366,3749,4744,942
12.5,49597,2812,3338,700
13.5,79992,4185,5406,1046
14.5,81505,4709,5424,1182
15.5,91964,4904,5873,1272
16.5,99471,5182,5707,1382
17.5,105629,5549,5703,1569
18.5,87594,4646,4953,1382
19.5,113986,6110,6019,1818
20.5,115610,6040,5765,1960
21.5,97693,5102,4750,1481
22.5,119796,6181,5943,1798
23.5,95127,4823,4977,1309
24.5,121522,5984,6618,1682
25.5,92499,4537,4673,1144
26.5,122130,5426,6509,1404
27.5,94366,4200,4884,1040
28.5,116902,5000,6668,1164
29.5,89787,3534,5077,833
30.5,94517,3667,5387,800
31.5,111606,4273,6472,992
32.5,87747,3311,5431,778
33.5,85678,3109,5292,625
34.5,105794,3888,6404,756
35.5,82398,2888,5195,507
36.5,78764,2750,5079,420
37.5,79797,2799,5237,448
38.5,72486,2548,4727,358
39.5,71549,2453,4966,297
40.5,73801,2566,4945,334
41.5,64968,2368,4248,264
42.5,61818,2152,4138,234
43.5,64919,2308,4382,352
44.5,57455,2086,3919,231
45.5,57235,2067,3888,1976
46.5,50441,1745,3381,204
47.5,50057,1778,3366,976
48.5,35515,1303,2429,141
49.5,42652,1516,3089,152
50.5,39134,1478,2640,137
51.5,38927,1433,2681,111
52.5,25558,958,1799,80
53.5,32857,1364,2385,91
54.5,28291,1092,2100,72
55.5,21216,852,1484,57
56.5,24220,925,1872,58
57.5,16722,664,1233,38
58.5,20978,933,1686,52
59.5,17901,771,1414,36
60.5,12467,540,992,21
61.5,11308,500,996,30
62.5,12974,593,1102,35
63.5,9137,480,777,26
64.5,10147,558,916,23
65.5,6991,407,665,19
66.5,6257,371,664,18
67.5,7156,445,664,22
68.5,4579,334,516,8
69.5,4203,310,486,12
70.5,4660,351,533,10
71.5,2991,267,429,9
72.5,2839,243,378,4
73.5,2402,245,375,4
74.5,2035,231,308,1
75.5,2349,280,401,5
76.5,1460,178,247,4
77.5,1314,205,235,3
78.5,1068,150,235,1
79.5,916,143,194,2
80.5,867,118,212,0
81.5,666,87,172,1
82.5,609,169,163,1
83.5,491,88,130,0
84.5,414,68,119,1
85.5,375,105,98,0
86.5,269,49,94,0
87.5,187,37,69,0
88.5,199,37,69,0
89.5,183,30,70,0
90.5,139,29,53,0
91.5,107,12,35,0
92.5,109,15,42,0
93.5,56,8,21,0
94.5,62,11,20,0
95.5,62,7,19,0
96.5,38,8,15,0
97.5,31,6,14,0
98.5,21,4,8,0
99.5,17,2,8,0
100.5,14,3,10,0
101.5,14,3,6,0
102.5,4,0,0,0
103.5,18,0,12,0
104.5,7,0,2,0
105.5,7,2,1,0
106.5,0,1,2,0
107.5,0,0,7,0
108.5,3,0,2,0
109.5,1,0,0,0
110.5,0,0,1,0
111.5,2,1,1,0
112.5,1,0,1,0
113.5,0,0,1,0
114.5,1,0,0,0
115.5,0,0,1,0
116.5,1,1,0,0
117.5,0,0,0,0
118.5,1,0,0,0
119.5,0,0,0,0
120.5,0,0,0,0
121.5,0,0,0,0
122.5,0,0,1,0
123.5,0,0,1,0
